"","logFC","logCPM","LR","PValue","FDR"
"PITA_36035",3.90895571069693,1.30791537550063,18.6647334198017,1.55838363299524e-05,0.00171745762332937
"PITA_51729",2.47652076459124,1.95834269906846,18.6549748973977,1.56638021951348e-05,0.00171898662992937
"PITA_20515",3.65869534500205,4.55563850670361,18.5722002616417,1.63588868614901e-05,0.00178772390075839
"PITA_45773",1.41085532654938,6.48265406728906,18.5371267131447,1.66626782522092e-05,0.00181330376009083
"PITA_20665",4.41652470397077,2.97692505654878,18.5109402366597,1.68931830965673e-05,0.00183072832982758
"PITA_40527",2.70873186636491,1.72766725786553,18.4258482412512,1.76645481198895e-05,0.00190231587810137
"PITA_46930",2.27058125615492,3.74437164950922,18.4220229465185,1.77000439271226e-05,0.00190231587810137
"PITA_04332",2.90364649162302,1.25250804771253,18.4005904967186,1.79002500888911e-05,0.00191591606815625
"PITA_31270",2.34746683878441,2.98596772838193,18.2636332012669,1.92344359882575e-05,0.00204191202293302
"PITA_02304",2.00527644567228,4.80936853681053,18.2063230195196,1.98219668242626e-05,0.00209572981761075
"PITA_01830",3.88142610155988,0.701794196069989,18.164538678367,2.02616648659986e-05,0.00213354510728647
"PITA_15529",3.48837266648212,4.5336241459627,18.0727986152272,2.12617332019703e-05,0.00222982426955663
"PITA_13989",3.05681026671711,5.89244539439056,18.0083687607497,2.19935965286441e-05,0.00229731506872893
"PITA_05740",2.35034642195072,1.83355139678803,17.9148096080694,2.31016451240865e-05,0.00240340275212946
"PITA_07904",3.7686456044296,3.01370577373191,17.8654006721173,2.37092685809155e-05,0.00244704113698822
"PITA_06853",1.25183929216297,7.96217153236827,17.8414558917668,2.40094890695848e-05,0.00246073443361479
"PITA_22694",2.49988055834917,4.65821394441786,17.8338505255742,2.41056424266542e-05,0.00246073443361479
"PITA_07118",2.71804823795068,2.35304328664091,17.8322619791906,2.41257749460483e-05,0.00246073443361479
"PITA_00470",2.71215125446306,4.97601142694595,17.8094431834892,2.44168414435171e-05,0.0024806938636892
"PITA_48310",2.82504121070206,3.51959874163643,17.7612268872912,2.50435249345992e-05,0.00252530801952271
"PITA_38499",3.4014977596888,3.45608994209648,17.7607233208693,2.50501545248514e-05,0.00252530801952271
"PITA_06926",2.08810972737948,2.56205766691991,17.7334142958246,2.54123388948386e-05,0.00255192865759018
"PITA_08476",2.39720608077018,2.90107247190324,17.7160073705836,2.56459384626852e-05,0.00256548159029222
"PITA_29147",2.80518805382387,2.16652282187969,17.5918379131275,2.73760813290481e-05,0.00272806321565982
"PITA_12671",2.46786171432345,2.70683395026721,17.4545953223193,2.94252121315222e-05,0.0029210700088884
"PITA_14470",2.28128595244723,4.26883584533837,17.443549295594,2.95966918239672e-05,0.00292692151197553
"PITA_40601",1.23099393027116,7.91086844084065,17.4166013765807,3.0019259811376e-05,0.00295746563800788
"PITA_14731",3.39131996644392,3.17761998129776,17.3920940468446,3.04088196294556e-05,0.002984539583934
"PITA_07558",2.62461602720786,2.9937788747656,17.3476539771745,3.11282293426593e-05,0.00303617643178211
"PITA_32996",1.52223458978882,5.1198773012162,17.3452025861733,3.11684073699805e-05,0.00303617643178211
"PITA_18840",4.11451988419098,0.140029380058984,17.2680219171502,3.24603993093643e-05,0.00315023330461663
"PITA_11637",1.87563829704876,5.36537129049354,17.2178884870783,3.33283284921914e-05,0.0032224405046595
"PITA_17809",2.34120959535012,4.00801926896399,17.0750300836208,3.59316412009483e-05,0.00344850943171758
"PITA_07352",4.00697008118765,2.37707666806566,17.0139010895453,3.7107150333924e-05,0.00354562909903707
"PITA_23709",2.07037966998026,6.7014180371174,16.860346749387,4.02333950769474e-05,0.00380520135475028
"PITA_08602",1.37850295380222,5.80565189995614,16.8338375138309,4.0799306955969e-05,0.00384474338629637
"PITA_39192",2.4341952136567,2.09299073091461,16.7921463220086,4.17055526354223e-05,0.00391595566243573
"PITA_19617",1.42147427444365,6.26251968173787,16.7619707882824,4.23740809312814e-05,0.00396441536309963
"PITA_38559",1.49989377963846,5.58030210565988,16.6869733368645,4.40826642358636e-05,0.00410948392154329
"PITA_27518",2.76157004887117,4.35360702357295,16.6441360266547,4.50894858771591e-05,0.00418833013635368
"PITA_13108",2.48426901395612,3.06003727478858,16.5629344159634,4.70618918497201e-05,0.0043252040463582
"PITA_03905",1.9876126747524,5.95175426845974,16.5134650343111,4.83058063260764e-05,0.00442389336878494
"PITA_08957",2.68983000982656,1.89154295135474,16.3606318478822,5.23615994207685e-05,0.0047521686899554
"PITA_21725",1.96000254108754,3.77131591936817,16.3581401513077,5.2430484667688e-05,0.0047521686899554
"PITA_13936",1.47083428627082,4.55291665056952,16.3578511768691,5.24384795269791e-05,0.0047521686899554
"PITA_31996",2.42709164218103,2.11442864582831,16.2616955803534,5.51679965464099e-05,0.00493080557448652
"PITA_11125",1.58758673460244,3.94424113694608,16.2452566882512,5.56487399902315e-05,0.00495673999454086
"PITA_22084",1.50265101983037,6.89213125007193,16.2368671244275,5.58957080645304e-05,0.0049617456349842
"PITA_14640",2.23833668411721,4.68837605860288,16.171426907363,5.7860324978566e-05,0.0050905866868267
"PITA_25719",1.65898172490897,4.09102991124151,16.1690061429604,5.79343173247992e-05,0.0050905866868267
"PITA_28503",4.09226200476573,3.29752560494588,16.1414913332522,5.87820442020592e-05,0.00514768413350626
"PITA_44727",3.99112985694464,3.15390460803097,16.1323078389733,5.90677540354268e-05,0.00515534635807858
"PITA_47910",2.37626086487843,2.35298186728357,16.1146389603551,5.96213891030541e-05,0.00518626324140914
"PITA_46665",3.57819085403546,2.82607121677254,16.1069574363754,5.98637060856741e-05,0.005189983771941
"PITA_31428",2.62610894324174,1.09964718680244,16.0020561353668,6.32737279595801e-05,0.00544850294012501
"PITA_39044",1.899264206223,5.0039062088645,15.9980955949216,6.34062326491822e-05,0.00544850294012501
"PITA_17285",2.38161387785062,2.50606559662419,15.9960719676956,6.34740432487938e-05,0.00544850294012501
"PITA_49179",3.8909728206639,2.88998897088214,15.9892182118921,6.37042510451065e-05,0.00545027587313216
"PITA_37224",3.64683551703076,2.3527803033231,15.9357665395056,6.55286698116168e-05,0.00556743652911544
"PITA_28004",2.14653015993623,4.74308923524593,15.9143352590395,6.62748423640071e-05,0.005596566152745
"PITA_05137",1.67850385051383,5.0164508152162,15.8508687784805,6.85350647952797e-05,0.00575763502765293
